,original tweet,neutral score,polar score,trimmed tweet,latitude,longitude
2008,Construction on #S9S SB at Exit 29 (FENN RD) https://t.co/k4aY8cjNpD,1.0,0.0,construction s9s sb exit 29 fenn rd https co k4a y8cj np ,40.71455000000003,-74.00713999999994
2009,Cleared: Incident on #B25Bus,0.682,0.1027,cleared incident b25bus ,40.71455000000003,-74.00713999999994
2010,Cleared: Incident on #B26Bus,0.682,0.1027,cleared incident b26bus ,40.71455000000003,-74.00713999999994
2011,Construction on #S15S SB at Exit 90 (EAST RIVER DRIVE) https://t.co/gfOAfUCqEo,1.0,0.0,construction s15s sb exit 90 east river drive https co gf oaf ucq eo ,40.71758193915588,-73.9752293148708
2012,Construction on #I84E EB at Exit 9 (RTE 25) https://t.co/2RkmYeYLNB,1.0,0.0,construction i84e eb exit 9 e 25 https co 2rkm ye ylnb ,40.71455000000003,-74.00713999999994
2013,Cleared: Incident on #I95N NB at 0.09 miles beyond Exit 34 (US 1(BRIDGEPORT AVE)),0.903,0.1027,cleared incident i95n nb 0 09 miles beyond exit 34 us 1 bridgepo ave  ,40.71455000000003,-74.00713999999994
2014,Cleared: Incident on #I95N NB at 0.12 miles beyond Exit 37 (HIGH ST),0.896,0.1027,cleared incident i95n nb 0 12 miles beyond exit 37 high st  ,40.60793899959324,-74.06326356998798
2015,Cleared: Incident on #MontaukBranch EB from Patchogue Station to Babylon Station,0.877,0.1027,cleared incident montauk branch eb patchogue station babylon station ,40.695730000000026,-73.32600999999994
2016,Updated: Closure on #US19TonnelleAvenue NB at Paterson Plank Road https://t.co/GkyAaZyteI,1.0,0.0,updated closure us19tonnelle avenue nb paterson plank road https co gky aa zyte ,40.71455000000003,-74.00713999999994
2017,Cleared: Special Event on #VerrazanonarrowsBridge WB at Staten Island Bound Upper Level,0.709,0.4767,cleared special event verrazanonarrows bridge wb staten island bound upper level ,40.64242000000007,-74.07526999999999
2018,Closure on #I80 EB at West of Exit 58 - Madison Ave https://t.co/v3ARP34piv,1.0,0.0,closure i80 eb west exit 58 madison ave https co v3arp34piv ,40.61693802038994,-74.15537129815453
2019,Construction on #I490 Both directions at Rte 153 Washington Rd. https://t.co/6m7HKEoTvb,1.0,0.0,construction i490 directions e 153 washington rd https co 6m7hkeo tvb ,40.60720137054942,-74.03054268548657
2020,Construction on #I80 WB at West of Exit 12 - CR 521/Hope-Blairstown Rd https://t.co/hZz7baSrd7,1.0,0.0,construction i80 wb west exit 12 cr 521 hope blairstown rd https co h zz7ba srd7 ,40.977583446040384,-74.95594851577964
2021,Construction on #I78 WB at Exit 24 - CR 523/Oldwick Rd https://t.co/NVikXR6tJa,1.0,0.0,construction i78 wb exit 24 cr 523 oldwick rd https co nvik xr6t ja ,40.666032959462825,-74.7492459752554
2022,Construction on #NJ17 Both directions from US 46 to Paramus Rd https://t.co/jV8f4Wc1qE,1.0,0.0,construction new jersey 17 directions us 46 paramus rd https co j v8f4wc1q e ,40.92712000000006,-74.06175999999994
2023,Construction on #NY31F Both directions at I-490 https://t.co/paSDUjZOF7,1.0,0.0,construction new york 31f directions 490 https co pa sduj zof7 ,40.71455000000003,-74.00713999999994
2024,Updated: Construction on #BX10Bus at East Gun Hill Road: Bainbridge Avenue https://t.co/kYrXVjBoJC,0.821,-0.34,updated construction bx10bus east gun hill road bainbridge avenue https co k yr xvj bo jc ,40.882417997756214,-73.8808568445411
2025,Closure on #PalisadesInterstateParkway SB at Exit 6A - CR 20 https://t.co/QlLpC23d4C,1.0,0.0,closure palisades interstate park way sb exit 6a cr 20 https co ql lp c23d4c ,40.71455000000003,-74.00713999999994
2026,Construction on #I490 Both directions at Fairport Road; NY 31F https://t.co/VRbB7osZfY,1.0,0.0,construction i490 directions fairpo road new york 31f https co vrb b7os zf ,40.71455000000003,-74.00713999999994
2027,Construction on #NJ88 WB at CR 56/Jordan Rd https://t.co/MLOpS1K6hW,1.0,0.0,construction new jersey 88 wb cr 56 jordan rd https co mlop s1k6h w ,40.78833000000003,-74.01525999999996
2028,Closure on #PalisadesInterstateParkway SB at Exit 5B - NY 303 https://t.co/0WoNyPjk7W,1.0,0.0,closure palisades interstate park way sb exit 5b new york 303 https co 0wo new york pjk7w ,40.71455000000003,-74.00713999999994
